(Parent) ASIN,(Child) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B0H4YG8HFN,B00MGK9Q0C,"Rimmel Extra 3D Lash Volumising Mascara, 8 ml (Pack of 1), Black","8,115",39,"2,924",21,"11,039",60,0.52%,0.46%,0.40%,0.29%,0.48%,0.38%,"10,461",53,"3,682",34,"14,143",87,0.52%,0.47%,0.39%,0.34%,0.47%,0.41%,26.98%,0.00%,"2,935",0,26.59%,0.00%,"£10,770.91",£0.00,"2,776",0,34,0,1.16%,0.00%,"£9,248.22",£0.00,"3,022",0,"2,882",0
B01C2SZGUG,B001KYVX2E,"RIMMEL LONDON - Extra Super Lash Building Mascara - Defines, Lengthen & Curl Lashes - With Hydrogel For Healthy Looking Finish - Enriched With Vitamin E - No Clumping - 101 Black Black","4,443",17,"2,131",19,"6,574",36,0.29%,0.20%,0.29%,0.26%,0.29%,0.23%,"5,569",19,"2,709",24,"8,278",43,0.27%,0.17%,0.28%,0.24%,0.28%,0.20%,34.04%,0.00%,"2,213",4,33.66%,11.11%,"£8,570.23",£15.74,"2,070",1,18,0,0.81%,0.00%,"£6,688.91",£13.12,"2,065",4,"1,955",1
B0H4F2L52Y,B004M9L0WW,"RIMMEL LONDON - Stay Matte Pressed Powder - Lightweight, Oil Absorbing, Smooth Non-Powdery Texture, Lasting Up To 5hrs - For All Skin Types - Dermatologically Tested - Transparent - 14g","16,068",83,"6,120",64,"22,188",147,1.03%,0.97%,0.84%,0.87%,0.97%,0.92%,"21,024",111,"8,091",78,"29,115",189,1.04%,0.99%,0.85%,0.77%,0.98%,0.89%,6.60%,0.00%,"1,456",0,6.56%,0.00%,"£5,729.41",£0.00,"1,352",0,15,0,1.03%,0.00%,"£5,115.38",£0.00,"1,553",0,"1,472",0
B0H792Q1DQ,B001V9LB9I,"Rimmel Eyebrow Pencil, 1.4 g - Dark Brown","5,823",47,"2,679",30,"8,502",77,0.37%,0.55%,0.37%,0.41%,0.37%,0.48%,"7,513",56,"3,625",40,"11,138",96,0.37%,0.50%,0.38%,0.39%,0.37%,0.45%,15.72%,2.08%,"1,499",0,17.63%,0.00%,"£5,450.79",£0.00,"1,286",0,25,0,1.67%,0.00%,"£4,804.36",£0.00,"1,583",0,"1,389",0
B01MY0VGTE,B01MY0VGTE,"Rimmel Extra Long Lash Mascara, Extreme Black, 8ml","1,416",10,461,2,"1,877",12,0.09%,0.12%,0.06%,0.03%,0.08%,0.08%,"1,742",11,565,2,"2,307",13,0.09%,0.10%,0.06%,0.02%,0.08%,0.06%,62.11%,0.00%,"1,159",2,61.75%,16.67%,"£4,551.20",£7.66,"1,088",2,19,0,1.64%,0.00%,"£3,907.49",£6.38,"1,194",2,"1,133",2
B01C2SZGUG,B001V9LB4I,"Rimmel Extra Super Lash Mascara, Brown Black, 8ml","1,579",3,822,11,"2,401",14,0.10%,0.04%,0.11%,0.15%,0.11%,0.09%,"2,026",3,"1,074",12,"3,100",15,0.10%,0.03%,0.11%,0.12%,0.10%,0.07%,55.79%,0.00%,"1,156",0,48.15%,0.00%,"£4,253.73",£0.00,"1,046",0,14,0,1.21%,0.00%,"£3,510.42",£0.00,"1,146",0,"1,045",0
B07H8L1DFZ,B07H8L1DFZ,"Rimmel Glam'eyes Professional Liquid Eye Liner, Black Glamour","1,482",10,598,4,"2,080",14,0.10%,0.12%,0.08%,0.05%,0.09%,0.09%,"1,999",14,778,5,"2,777",19,0.10%,0.13%,0.08%,0.05%,0.09%,0.09%,41.78%,36.36%,"1,000",5,48.08%,35.71%,"£3,990.20",£19.25,892,4,14,0,1.40%,0.00%,"£3,244.24",£19.26,975,6,886,5
B0G6VRMSWW,B0742CVQW4,"RIMMEL LONDON - Scandal'eyes Eyeliner - Waterproof Khol - 24hr Wear, Smudge-proof - Ultra Smooth & Creamy Formula - High Intensity Colour - 001 Black - 1.3g","4,145",30,"1,714",13,"5,859",43,0.27%,0.35%,0.24%,0.18%,0.26%,0.27%,"5,396",36,"2,278",18,"7,674",54,0.27%,0.32%,0.24%,0.18%,0.26%,0.25%,24.91%,0.00%,909,0,15.51%,0.00%,"£3,730.97",£0.00,772,0,7,0,0.77%,0.00%,"£2,609.20",£0.00,764,0,696,0
B0H4YCPBRN,B08CFSS35N,"Rimmel Lasting Finish 8HR Lip Liner, Cappuccino, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g","18,682",96,"7,397",46,"26,079",142,1.20%,1.12%,1.02%,0.63%,1.14%,0.89%,"24,940",131,"10,300",66,"35,240",197,1.23%,1.17%,1.08%,0.65%,1.18%,0.92%,12.60%,0.00%,754,0,2.89%,0.00%,"£2,827.01",£0.00,714,0,12,0,1.59%,0.00%,"£2,318.55",£0.00,742,0,702,0
B0H4F2L52Y,B006EHWDEE,"Rimmel Stay Matte Pressed Powder, Silky Beige, 14g","5,749",24,"2,126",16,"7,875",40,0.37%,0.28%,0.29%,0.22%,0.34%,0.25%,"7,304",30,"2,750",19,"10,054",49,0.36%,0.27%,0.29%,0.19%,0.34%,0.23%,10.33%,0.00%,651,0,8.27%,0.00%,"£2,585.78",£0.00,598,0,9,0,1.38%,0.00%,"£2,012.73",£0.00,608,0,568,0
