(Parent) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile APP – B2B,Session percentage – Mobile App,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B01C2SZGUG,Rimmel London Extra Super Lash- 8 ml,"6,022",20,"2,955",30,"8,977",50,0.23%,0.39%,0.41%,0.41%,0.39%,0.31%,"7,595",22,"3,785",36,"11,380",58,0.37%,0.20%,0.40%,0.36%,0.38%,0.27%,39.99%,0.00%,"3,369",4,37.53%,8.00%,"£12,823.96",£15.74,"3,116",1,32,0,0.95%,0.00%,"£10,199.33",£13.12,"3,211",4,"3,000",1
B0H4YG8HFN,"Rimmel Extra 3D Lash Volumising Mascara,","8,115",39,"2,927",21,"11,042",60,0.46%,0.52%,0.40%,0.29%,0.48%,0.38%,"10,461",53,"3,687",34,"14,148",87,0.52%,0.47%,0.39%,0.34%,0.47%,0.41%,26.98%,0.00%,"2,935",0,26.58%,0.00%,"£10,770.91",£0.00,"2,776",0,34,0,1.16%,0.00%,"£9,248.22",£0.00,"3,022",0,"2,882",0
B0H4F2L52Y,Rimmel Stay Matte Pressed Powder,"30,379",147,"11,759",110,"42,138",257,1.72%,1.95%,1.62%,1.50%,1.85%,1.62%,"38,857",189,"15,208",136,"54,065",325,1.92%,1.69%,1.60%,1.34%,1.82%,1.52%,8.01%,1.98%,"2,667",0,6.33%,0.00%,"£10,385.77",£0.00,"2,391",0,27,0,1.01%,0.00%,"£8,907.22",£0.00,"2,736",0,"2,508",0
B0H792Q1DQ,Rimmel London Professional Eyebrow Pencil,"9,891",78,"4,525",55,"14,416",133,0.91%,0.64%,0.62%,0.75%,0.63%,0.84%,"12,622",95,"6,019",72,"18,641",167,0.62%,0.85%,0.63%,0.71%,0.63%,0.78%,14.39%,1.23%,"2,071",0,14.37%,0.00%,"£7,657.63",£0.00,"1,755",0,42,0,2.03%,0.00%,"£6,662.05",£0.00,"2,161",0,"1,881",0
B0H4YCPBRN,Rimmel Lasting Finish 8HR Lip Liner,"66,504",369,"26,882",182,"93,386",551,4.31%,4.27%,3.70%,2.48%,4.09%,3.46%,"86,161",481,"36,041",255,"122,202",736,4.25%,4.30%,3.78%,2.52%,4.10%,3.45%,8.04%,1.65%,"1,459",1,1.56%,0.18%,"£5,441.33",£3.59,"1,377",1,22,0,1.51%,0.00%,"£4,479.37",£2.99,"1,440",1,"1,360",1
B01MY0VGTE,"Rimmel Extra Long Lash Mascara, Extreme Black, 8ml","1,416",10,461,2,"1,877",12,0.12%,0.09%,0.06%,0.03%,0.08%,0.08%,"1,742",11,565,2,"2,307",13,0.09%,0.10%,0.06%,0.02%,0.08%,0.06%,62.11%,0.00%,"1,159",2,61.75%,16.67%,"£4,551.20",£7.66,"1,088",2,19,0,1.64%,0.00%,"£3,907.49",£6.38,"1,194",2,"1,133",2
B07H8L1DFZ,"Rimmel Glam'eyes Professional Liquid Eye Liner, Black Glamour","1,482",10,598,4,"2,080",14,0.12%,0.10%,0.08%,0.05%,0.09%,0.09%,"1,999",14,778,5,"2,777",19,0.10%,0.13%,0.08%,0.05%,0.09%,0.09%,41.78%,36.36%,"1,000",5,48.08%,35.71%,"£3,990.20",£19.25,892,4,14,0,1.40%,0.00%,"£3,244.24",£19.26,975,6,886,5
B0BXWHBJ7Q,Cream Hair Dye Refectocil,"7,392",75,"3,326",27,"10,718",102,0.88%,0.47%,0.46%,0.37%,0.47%,0.64%,"10,360",94,"4,659",36,"15,019",130,0.51%,0.84%,0.49%,0.36%,0.50%,0.61%,24.40%,31.03%,860,25,8.02%,24.51%,"£5,239.36",£152.24,811,17,12,1,1.40%,4.00%,"£4,305.63",£132.05,847,26,798,18
B0G6VRMSWW,Rimmel Lasting Finish 8HR Lip Liner,"7,160",60,"2,973",22,"10,133",82,0.70%,0.46%,0.41%,0.30%,0.44%,0.52%,"9,142",71,"3,934",29,"13,076",100,0.45%,0.63%,0.41%,0.29%,0.44%,0.47%,14.59%,0.00%,910,0,8.98%,0.00%,"£3,734.89",£0.00,773,0,7,0,0.77%,0.00%,"£2,612.93",£0.00,765,0,697,0
B01M0M1D7R,Max Factor Creme Puff Compact Powder,"7,536",44,"4,205",52,"11,741",96,0.51%,0.48%,0.58%,0.71%,0.51%,0.60%,"9,660",53,"5,676",73,"15,336",126,0.48%,0.47%,0.60%,0.72%,0.51%,0.59%,13.88%,5.17%,811,3,6.91%,3.13%,"£4,763.88",£17.00,688,3,11,0,1.36%,0.00%,"£3,949.58",£14.17,806,3,696,3
B01C2U97IQ,"Rimmel London Hide The Blemish Concealer, Soft Honey, 4.5 g","3,193",10,"2,164",19,"5,357",29,0.12%,0.21%,0.30%,0.26%,0.23%,0.18%,"4,033",11,"2,967",22,"7,000",33,0.20%,0.10%,0.31%,0.22%,0.24%,0.15%,25.05%,20.83%,568,1,10.60%,3.45%,"£2,484.43",£4.28,484,1,9,0,1.58%,0.00%,"£2,086.98",£3.57,572,1,499,1
B0H3KCT69C,"Max Factor False Lash Effect Volumnising Mascara, Black Brown, 13.1ml","10,275",53,"3,934",48,"14,209",101,0.62%,0.66%,0.54%,0.65%,0.62%,0.64%,"12,588",63,"4,901",63,"17,489",126,0.62%,0.56%,0.51%,0.62%,0.59%,0.59%,4.44%,6.52%,510,5,3.59%,4.95%,"£3,330.65",£32.66,484,4,5,0,0.98%,0.00%,"£2,796.36",£27.21,514,5,491,4
B08HQQX815,Max Factor Max Factor Panstik Foundation,"14,377",71,"6,949",60,"21,326",131,0.83%,0.92%,0.96%,0.82%,0.93%,0.82%,"18,895",101,"9,546",72,"28,441",173,0.93%,0.90%,1.00%,0.71%,0.95%,0.81%,12.22%,30.61%,570,5,2.67%,3.82%,"£3,894.72",£32.55,475,2,7,0,1.23%,0.00%,"£3,213.02",£27.13,563,5,480,3
B00NQN4KOK,"Rimmel Extra Super Lash Mascara, Black-Black 0.27 oz by Rimmel",406,1,200,2,606,3,0.01%,0.03%,0.03%,0.03%,0.03%,0.02%,511,1,252,2,763,3,0.03%,0.01%,0.03%,0.02%,0.03%,0.01%,77.72%,100.00%,517,0,85.31%,0.00%,"£1,932.56",£0.00,459,0,3,0,0.58%,0.00%,"£1,574.34",£0.00,505,0,457,0
B0B3SMR3L3,"Rimmel London Brow This Way Eyebrow Powder Sculpting Kit, 2.4g","6,685",37,"2,439",13,"9,124",50,0.43%,0.43%,0.34%,0.18%,0.40%,0.31%,"9,318",55,"3,411",23,"12,729",78,0.46%,0.49%,0.36%,0.23%,0.43%,0.37%,12.71%,26.19%,460,2,5.04%,4.00%,"£2,069.72",£8.50,454,2,9,1,1.96%,50.00%,"£1,720.15",£7.08,459,2,457,2
B0BXS352Y4,Marion Hair Dye Shampoo Bag Semi-Permanent Colour 4 to 8 Washes with Aloe and Keratin,"8,841",42,"4,770",45,"13,611",87,0.49%,0.57%,0.66%,0.61%,0.60%,0.55%,"12,140",44,"6,512",65,"18,652",109,0.60%,0.39%,0.68%,0.64%,0.63%,0.51%,24.27%,35.56%,826,1,6.07%,1.15%,"£2,550.23",£2.98,448,1,8,0,0.97%,0.00%,"£2,103.47",£2.48,817,1,457,1
B071Z2XMT8,Rimmel Match Perfection 9-in-1 Super Makeup BB Cream,"2,144",9,950,10,"3,094",19,0.11%,0.14%,0.13%,0.14%,0.14%,0.12%,"2,954",16,"1,297",12,"4,251",28,0.15%,0.14%,0.14%,0.12%,0.14%,0.13%,40.26%,66.67%,465,1,15.03%,5.26%,"£2,938.94",£5.94,432,1,7,0,1.51%,0.00%,"£2,373.87",£4.95,446,1,420,1
B0H3NLP3ZK,"Rimmel London Brow Pro Micro Ultra-Fine Precision Pencil & Brush, Natural-looking Defined Brows, Blonde, 0.03 g","3,236",15,"1,354",21,"4,590",36,0.18%,0.21%,0.19%,0.29%,0.20%,0.23%,"3,956",19,"1,728",32,"5,684",51,0.20%,0.17%,0.18%,0.32%,0.19%,0.24%,9.35%,22.22%,492,2,10.72%,5.56%,"£2,404.75",£9.76,424,2,8,0,1.63%,0.00%,"£1,958.63",£8.14,479,2,428,2
B00NA0D8TC,Rimmel London 100% Waterproof Mascara,"2,926",12,"1,167",9,"4,093",21,0.14%,0.19%,0.16%,0.12%,0.18%,0.13%,"3,714",17,"1,550",12,"5,264",29,0.18%,0.15%,0.16%,0.12%,0.18%,0.14%,13.87%,0.00%,459,0,11.21%,0.00%,"£2,241.89",£0.00,423,0,6,0,1.31%,0.00%,"£1,780.38",£0.00,437,0,407,0
B0H3P2DKDH,Rimmel London Scandal'Eyes Reloaded Black,604,1,325,5,929,6,0.01%,0.04%,0.04%,0.07%,0.04%,0.04%,728,1,422,6,"1,150",7,0.04%,0.01%,0.04%,0.06%,0.04%,0.03%,54.02%,100.00%,385,1,41.44%,16.67%,"£1,976.54",£5.17,364,1,1,0,0.26%,0.00%,"£1,663.00",£4.31,388,1,368,1
B08PQZYLY9,"Bourjois Little Round Pot Blusher 95 Rose De Jaspe, 2.5g 29192115095","4,612",17,"2,718",30,"7,330",47,0.20%,0.30%,0.37%,0.41%,0.32%,0.30%,"6,314",19,"3,811",43,"10,125",62,0.31%,0.17%,0.40%,0.42%,0.34%,0.29%,37.02%,58.62%,382,1,5.21%,2.13%,"£2,988.70",£6.82,361,1,3,0,0.79%,0.00%,"£2,424.69",£0.00,372,0,351,0
B0H4YF8BP1,Rimmel Soft Kohl Eye Pencil,"14,983",87,"7,160",58,"22,143",145,1.02%,0.96%,0.99%,0.79%,0.97%,0.91%,"19,291",126,"9,556",80,"28,847",206,0.95%,1.13%,1.00%,0.79%,0.97%,0.97%,2.68%,5.63%,383,0,1.73%,0.00%,"£1,150.11",£0.00,346,0,5,0,1.31%,0.00%,£959.56,£0.00,384,0,351,0
B07NDVQ2FK,TUHIMO Oxidant Liquid Developer 100ml RefectoCil,"1,312",16,550,3,"1,862",19,0.19%,0.08%,0.08%,0.04%,0.08%,0.12%,"1,731",22,718,4,"2,449",26,0.09%,0.20%,0.08%,0.04%,0.08%,0.12%,22.79%,57.14%,296,4,15.90%,21.05%,"£2,163.96",£28.76,289,4,2,0,0.68%,0.00%,"£1,771.78",£23.98,291,4,284,4
B0H3XRSPFS,Rimmel Brow Pro Micro Dark Brown 003 Brown Eyebrow Cosmetic Defining & Filling Solid With Long Lasting Claim Eye Cosmetic Waterproof Pencil X1 X1 Standard Female Eyebrow 1 Mu,852,0,373,8,"1,225",8,0.00%,0.05%,0.05%,0.11%,0.05%,0.05%,"1,062",0,468,8,"1,530",8,0.05%,0.00%,0.05%,0.08%,0.05%,0.04%,21.69%,40.00%,306,3,24.98%,37.50%,"£1,724.18",£14.82,262,3,2,0,0.65%,0.00%,"£1,373.18",£12.36,295,3,265,3
B0H3JJJG2P,"Rimmel London Maxi Blush Powder, Third Base, Long Lasting Pigmented Colour, Light Weight Formula, Easy To Blend and Buildable, 9g","11,555",55,"4,575",37,"16,130",92,0.64%,0.74%,0.63%,0.50%,0.71%,0.58%,"15,454",79,"6,278",50,"21,732",129,0.76%,0.71%,0.66%,0.49%,0.73%,0.61%,4.42%,1.72%,255,0,1.58%,0.00%,"£1,355.32",£0.00,217,0,3,0,1.18%,0.00%,£924.86,£0.00,211,0,209,0
