(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0H4YG8HFN,B00MGK9Q0C,"Rimmel Extra 3D Lash Volumising Mascara, 8 ml (Pack of 1), Black",RIM-MSC-E3DL-003_SNL,"8,115",39,"2,924",21,"11,039",60,0.85%,0.74%,0.69%,0.51%,0.80%,0.64%,"10,461",53,"3,682",34,"14,143",87,0.84%,0.77%,0.66%,0.59%,0.78%,0.69%,26.98%,0.00%,"2,933",0,26.57%,0.00%,"£10,762.43",£0.00,"2,774",0
B01C2SZGUG,B001KYVX2E,"RIMMEL LONDON - Extra Super Lash Building Mascara - Defines, Lengthen & Curl Lashes - With Hydrogel For Healthy Looking Finish - Enriched With Vitamin E - No Clumping - 101 Black Black",RIM-MSC-ESL-101_SNL,"4,443",17,"2,131",19,"6,574",36,0.46%,0.32%,0.51%,0.46%,0.48%,0.38%,"5,569",19,"2,709",24,"8,278",43,0.44%,0.28%,0.48%,0.42%,0.46%,0.34%,34.04%,0.00%,"2,194",4,33.37%,11.11%,"£8,492.68",£15.74,"2,053",1
B0H4F2L52Y,B004M9L0WW,"RIMMEL LONDON - Stay Matte Pressed Powder - Lightweight, Oil Absorbing, Smooth Non-Powdery Texture, Lasting Up To 5hrs - For All Skin Types - Dermatologically Tested - Transparent - 14g",RIM-SMPP-001_SNL,"16,068",83,"6,120",64,"22,188",147,1.67%,1.57%,1.45%,1.56%,1.61%,1.57%,"21,024",111,"8,091",78,"29,115",189,1.68%,1.61%,1.44%,1.35%,1.61%,1.49%,6.60%,0.00%,"1,442",0,6.50%,0.00%,"£5,672.17",£0.00,"1,341",0
B0H792Q1DQ,B001V9LB9I,"Rimmel Eyebrow Pencil, 1.4 g - Dark Brown",RIM-EBP-DRKBRW_SNL,"5,823",47,"2,679",30,"8,502",77,0.61%,0.89%,0.64%,0.73%,0.62%,0.82%,"7,513",56,"3,625",40,"11,138",96,0.60%,0.81%,0.65%,0.69%,0.61%,0.76%,15.72%,2.08%,"1,449",0,17.04%,0.00%,"£5,278.50",£0.00,"1,239",0
B01MY0VGTE,B01MY0VGTE,"Rimmel Extra Long Lash Mascara, Extreme Black, 8ml",RIM-MSC-ELL-003_SNL,"1,416",10,461,2,"1,877",12,0.15%,0.19%,0.11%,0.05%,0.14%,0.13%,"1,742",11,565,2,"2,307",13,0.14%,0.16%,0.10%,0.03%,0.13%,0.10%,62.11%,0.00%,"1,158",2,61.69%,16.67%,"£4,546.60",£7.66,"1,087",2
B01C2SZGUG,B001V9LB4I,"Rimmel Extra Super Lash Mascara, Brown Black, 8ml",RIM-MSC-ESL-102_SNL,"1,579",3,822,11,"2,401",14,0.16%,0.06%,0.20%,0.27%,0.17%,0.15%,"2,026",3,"1,074",12,"3,100",15,0.16%,0.04%,0.19%,0.21%,0.17%,0.12%,55.79%,0.00%,"1,126",0,46.90%,0.00%,"£4,153.23",£0.00,"1,022",0
B07H8L1DFZ,B07H8L1DFZ,"Rimmel Glam'eyes Professional Liquid Eye Liner, Black Glamour",RIM-GLAMEYES-LL-001-V3_SNL,"1,482",10,598,4,"2,080",14,0.15%,0.19%,0.14%,0.10%,0.15%,0.15%,"1,999",14,778,5,"2,777",19,0.16%,0.20%,0.14%,0.09%,0.15%,0.15%,41.78%,36.36%,974,5,46.83%,35.71%,"£3,888.24",£19.25,876,4
B0G6VRMSWW,B0742CVQW4,"RIMMEL LONDON - Scandal'eyes Eyeliner - Waterproof Khol - 24hr Wear, Smudge-proof - Ultra Smooth & Creamy Formula - High Intensity Colour - 001 Black - 1.3g",RIM-SCD-EL-WP-001_SNL,"4,145",30,"1,714",13,"5,859",43,0.43%,0.57%,0.41%,0.32%,0.42%,0.46%,"5,396",36,"2,278",18,"7,674",54,0.43%,0.52%,0.41%,0.31%,0.42%,0.43%,24.91%,0.00%,902,0,15.40%,0.00%,"£3,702.06",£0.00,767,0
B0H4YCPBRN,B08CFSS35N,"Rimmel Lasting Finish 8HR Lip Liner, Cappuccino, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g",RIM-LASTLIP-705_SNL,"18,682",96,"7,397",46,"26,079",142,1.95%,1.81%,1.76%,1.12%,1.89%,1.51%,"24,940",131,"10,300",66,"35,240",197,1.99%,1.90%,1.83%,1.14%,1.94%,1.56%,12.60%,0.00%,754,0,2.89%,0.00%,"£2,827.01",£0.00,714,0
B0H4F2L52Y,B006EHWDEE,"Rimmel Stay Matte Pressed Powder, Silky Beige, 14g",RIM-SMPP-005_SNL,"5,749",24,"2,126",16,"7,875",40,0.60%,0.45%,0.50%,0.39%,0.57%,0.43%,"7,304",30,"2,750",19,"10,054",49,0.58%,0.44%,0.49%,0.33%,0.55%,0.39%,10.33%,0.00%,615,0,7.81%,0.00%,"£2,437.04",£0.00,570,0
