SKU,amz,ebay,web,oth,tot,category,resolved_parent_id,current_stock,in_stock_flag,cv_30,v7,v14,v30,v90,doc,status,risk,action
RIM-SCD-EYE-001,160,20,0,0,180,Eyeliner,B0CLGWXNPJ,108.0,1,1.1679638569399913,1.5714285714285714,1.1428571428571428,0.9666666666666667,0.4111111111111111,6.0,Stockout Imminent,HIGH STOCKOUT RISK,Expedite Purchase Order
RIM-EBP-DRKBRW,111,20,0,0,131,Eyeliner,B0H792Q1DQ,3632.0,1,0.9177673962978999,1.8571428571428572,3.2142857142857144,3.2333333333333334,4.155555555555556,277.3,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-SMPP-005,71,50,0,0,121,"Complexion, Face Powder, Makeup",B0H4F2L52Y,1283.0,1,0.715815787321927,5.0,6.357142857142857,5.333333333333333,5.344444444444444,106.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-WONDERF-BROW-003,76,0,0,0,76,"Brow Gels & Mascaras, Brows, Makeup",B09DTRB76M,72.0,1,3.8056219755369347,0.14285714285714285,0.07142857142857142,0.06666666666666667,0.06666666666666667,9.5,Stockout Imminent,HIGH STOCKOUT RISK,Expedite Purchase Order
RIM-MSC-ESL-101,0,60,0,0,60,Mascara,B01C2SZGUG,2300.0,1,0.5714816442733051,6.142857142857143,6.571428571428571,6.166666666666667,6.7444444444444445,383.3,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-MSC-E3DL-003,0,60,0,0,60,Mascara,RIM-MSC-E3DL-003,7452.0,1,0.4714616273981964,6.285714285714286,7.0,6.933333333333334,6.155555555555556,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-SMPP-001,10,50,0,0,60,"Complexion, Face Powder, Makeup",203496876753,6912.0,1,0.4750730937913071,4.857142857142857,4.857142857142857,4.8,4.011111111111111,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-BTW-F&S-003,56,0,0,0,56,"Brow Pencils, Brows, Makeup",B08R4Y54Z5,622.0,1,5.477225575051662,0.0,0.0,0.03333333333333333,0.03333333333333333,111.1,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-MBP-003,50,0,0,0,50,"Brow Pencils, Brows, Makeup",B0H3XRSPFS,728.0,1,3.8056219755369374,0.14285714285714285,0.07142857142857142,0.06666666666666667,0.05555555555555555,145.6,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-LF-LS-077,10,40,0,0,50,Lipstick,402758105930,376.0,1,0.828307252148165,4.0,4.071428571428571,4.4,3.7444444444444445,75.2,Adequate Coverage,HEALTHY INVENTORY,Maintain Baseline Reorder
RIM-MSC-ELL-003,0,50,0,0,50,Mascara,B01MY0VGTE,2541.0,1,0.4123107741479185,6.857142857142857,7.428571428571429,7.7,7.188888888888889,508.2,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-MSC-SCAND-VOD-001,40,0,0,0,40,Mascara,RIM-MSC-SCAND-VOD-001,273.0,1,3.8056219755369582,0.0,0.07142857142857142,0.06666666666666667,0.08888888888888889,68.2,Adequate Coverage,HEALTHY INVENTORY,Maintain Baseline Reorder
RIM-SMPP-003,0,40,0,0,40,"Complexion, Face Powder, Makeup",402161034439,573.0,1,0.5025478468075733,5.142857142857143,4.357142857142857,4.866666666666666,4.144444444444445,143.2,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-BTW-BSK-DRKBRW,20,10,0,0,30,"Brow Kit, Brows, Makeup",B0B3SMR3L3,809.0,1,1.2575082196100653,1.1428571428571428,1.1428571428571428,1.0333333333333334,1.0666666666666667,269.7,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-MSC-ESL-102,10,20,0,0,30,Mascara,B01C2SZGUG,2976.0,1,0.5941289303513435,1.7142857142857142,2.642857142857143,2.6,2.4555555555555557,992.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-HTB-004,0,30,0,0,30,Concealer,402418750983,1294.0,1,0.7212313742905715,4.428571428571429,3.5714285714285716,3.066666666666667,2.577777777777778,431.3,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-MSC-SCAND-RL-001,20,10,0,0,30,Mascara,RIM-MSC-SCAND-RL-001,129.0,1,1.0626437168117069,1.1428571428571428,1.5,1.0333333333333334,1.1222222222222222,43.0,Adequate Coverage,HEALTHY INVENTORY,Maintain Baseline Reorder
RIM-NAIL-60S-902,20,10,0,0,30,Nail Polish,402783366055,530.0,1,1.2066228480009846,0.42857142857142855,0.5,0.6,0.5888888888888889,176.7,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-100WP-BLK,0,30,0,0,30,Mascara,B00NA0D8TC,610.0,1,0.8358383295578087,2.857142857142857,2.357142857142857,3.1,1.2444444444444445,203.3,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-LF-LS-206,10,10,0,0,20,Lipstick,B0DJ87CTD6,390.0,1,2.0264772857633604,0.2857142857142857,1.0,2.2666666666666666,1.3444444444444446,195.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-LASTLIP-620,20,0,0,0,20,"Lip Pencil, Lips, Makeup",402817922464,79.0,1,2.7667982242644844,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.1111111111111111,39.5,Adequate Coverage,HEALTHY INVENTORY,Maintain Baseline Reorder
RIM-SCD-EL-WP-001,10,10,0,0,20,Eyeliner,205590074187,4076.0,1,1.253765878986319,0.8571428571428571,0.7142857142857143,1.0666666666666667,1.6666666666666667,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-BTW-BSK-MEDBRW,0,20,0,0,20,"Brow Kit, Brows, Makeup",205588870561,96.0,1,0.8977475025612749,1.7142857142857142,1.4285714285714286,1.5666666666666667,1.0,48.0,Adequate Coverage,HEALTHY INVENTORY,Maintain Baseline Reorder
RIM-MSC-ACCEL-BLK,10,10,0,0,20,Mascara,RIM-MSC-ACCEL-BLK,12.0,1,0.8917480796610516,1.0,1.2857142857142858,1.4,0.7222222222222222,6.0,Stockout Imminent,HIGH STOCKOUT RISK,Expedite Purchase Order
RIM-NAIL-60S-345,10,10,0,0,20,Nail Polish,402783366055,207.0,1,1.1841067785144674,0.8571428571428571,0.5714285714285714,0.7333333333333333,0.5444444444444444,103.5,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-SCD-EYE-003,0,20,0,0,20,Eyeliner,B0CLGWXNPJ,62.0,1,1.1578450706378132,2.142857142857143,2.7857142857142856,1.8666666666666667,0.6222222222222222,31.0,Adequate Coverage,HEALTHY INVENTORY,Maintain Baseline Reorder
RIM-SMPP-006,0,20,0,0,20,"Complexion, Face Powder, Makeup",B0H4F2L52Y,941.0,1,1.2940180673470865,1.2857142857142858,2.0714285714285716,2.5,2.7111111111111112,470.5,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-SUPERGEL-TOPCOAT,20,0,0,0,20,"Base & Top Coat, Nails",B0H6R42TK5,485.0,1,3.0512857662936512,0.14285714285714285,0.07142857142857142,0.1,0.044444444444444446,242.5,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-SMPP-004,0,20,0,0,20,"Complexion, Face Powder, Makeup",203496876753,631.0,1,1.0578825017560916,1.8571428571428572,2.7142857142857144,2.466666666666667,2.2555555555555555,315.5,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-MSC-SCAND-WOW-001,16,0,0,0,16,Mascara,B097QPWLHM,52.0,1,5.477225575051661,0.0,0.0,0.0,0.011111111111111112,32.5,Adequate Coverage,HEALTHY INVENTORY,Maintain Baseline Reorder
RIM-NAIL-60S-900,0,10,0,0,10,Nail Polish,402783366055,1814.0,1,1.066738503328138,0.42857142857142855,0.5,0.6666666666666666,0.6333333333333333,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-LF-LS-101,0,10,0,0,10,Lipstick,402758105930,116.0,1,1.3693063937629149,0.7142857142857143,0.5,0.5333333333333333,0.4888888888888889,116.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-NAIL-SUPERGEL-012,10,0,0,0,10,Gel Nail Polish,B0H6R42TK5,353.0,1,3.8056219755369365,0.0,0.0,0.06666666666666667,0.12222222222222222,353.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-SCD-EYE-006,0,10,0,0,10,Eyeliner,205588891103,1190.0,1,2.3072225428139705,1.5714285714285714,1.2857142857142858,0.8,1.0222222222222221,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-NAIL-SUPERGEL-091A,10,0,0,0,10,Gel Nail Polish,403359609638,673.0,1,2.593094277313201,0.14285714285714285,0.14285714285714285,0.13333333333333333,0.17777777777777778,673.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-OMG-LIP-130,0,10,0,0,10,"Lip Gloss, Lips, Makeup",205588891993,14.0,1,1.2845859561081296,0.5714285714285714,0.6428571428571429,0.5666666666666667,0.7444444444444445,14.0,Lean Coverage,MODERATE REORDER,Standard Replenishment
RIM-LASTLIP-725,0,10,0,0,10,"Lip Pencil, Lips, Makeup",402817922464,117.0,1,1.2194543720522066,1.2857142857142858,1.2857142857142858,1.3333333333333333,0.9,117.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-HTB-105,0,10,0,0,10,Concealer,B01C2U97IQ,1481.0,1,1.5001870249997358,1.8571428571428572,1.5,1.3,1.4333333333333333,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-LF-LS-084,0,10,0,0,10,Lipstick,402758105930,36.0,1,1.1975680686277772,1.8571428571428572,1.5714285714285714,1.4666666666666666,0.7888888888888889,36.0,Adequate Coverage,HEALTHY INVENTORY,Maintain Baseline Reorder
RIM-EXAG-EYEL-001,0,10,0,0,10,Eyeliner,402758135397,1713.0,1,1.0954451150103324,0.7142857142857143,0.8571428571428571,0.8333333333333334,1.1777777777777778,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-SMPP-002,0,10,0,0,10,"Complexion, Face Powder, Makeup",B0H4F2L52Y,2524.0,1,1.0087582684638718,1.0,1.3571428571428572,1.1666666666666667,1.2444444444444445,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-LF-SG-LS-904,0,10,0,0,10,"Lips, Lipstick, Makeup",404272848129,166.0,1,1.6400168207716022,0.8571428571428571,0.7142857142857143,0.5,0.4,166.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-MBP-002,0,10,0,0,10,"Brow Pencils, Brows, Makeup",B0H3NLP3ZK,2064.0,1,1.6094548230957595,0.42857142857142855,0.9285714285714286,0.8333333333333334,1.011111111111111,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-ELP-061,0,10,0,0,10,Eyeliner,B0H4YF8BP1,6742.0,1,2.2055914850222877,0.8571428571428571,0.42857142857142855,0.36666666666666664,0.5,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-BBCREAM-LIGHT,0,10,0,0,10,"BB & CC Cream, Complexion, Makeup",402758154009,1498.0,1,1.1348239841568335,0.5714285714285714,0.5714285714285714,0.7,0.7555555555555555,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-ELP-064,10,0,0,0,10,Eyeliner,402071202955,3882.0,1,1.986544777561473,0.5714285714285714,0.42857142857142855,0.3,0.5555555555555556,999.0,Surplus Coverage,OVERSTOCK RISK,Hold Purchasing / Reallocate
RIM-MSC-WLUX-003,0,10,0,0,10,"Eyes, Makeup, Mascara",403212526888,38.0,1,1.7220677226460368,1.1428571428571428,0.7857142857142857,0.5,0.16666666666666666,38.0,Adequate Coverage,HEALTHY INVENTORY,Maintain Baseline Reorder
RIM-WONDERF-BROW-002,10,0,0,0,10,"Brow Gels & Mascaras, Brows, Makeup",B09DTRB76M,31.0,1,5.477225575051666,0.0,0.07142857142857142,0.03333333333333333,0.03333333333333333,31.0,Adequate Coverage,HEALTHY INVENTORY,Maintain Baseline Reorder
RIM-MICRO-BRW-003,10,0,0,0,10,"Brow Pencils, Brows, Makeup",B08R4SQBV9,83.0,1,5.477225575051661,0.0,0.0,0.0,0.0,83.0,Adequate Coverage,HEALTHY INVENTORY,Maintain Baseline Reorder
RIM-EBP-HAZEL,0,0,0,0,0,Eyeliner,B00MJ0F7X4,0.0,0,5.477225575024533,0.0,0.0,0.0,2.466666666666667,0.0,Stockout Inactive,STOCKOUT RISK,Urgent Restock Required
RIM-EBP-HAZEL-5PK,0,0,0,0,0,Cosmetics General,RIM-EBP-HAZEL-5PK,4.0,1,5.477225575051832,0.0,0.0,0.0,0.17777777777777778,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-ELP-021,0,0,0,0,0,Eyeliner,B0G1Z37VWG,921.0,1,5.4772255750518655,0.0,0.0,0.03333333333333333,0.13333333333333333,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-ELP-061-2PK,0,0,0,0,0,Cosmetics General,RIM-ELP-061-2PK,3596.0,1,5.477225575051664,0.0,0.0,0.0,0.022222222222222223,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-ELP-061-6PK,0,0,0,0,0,Cosmetics General,B01CZ5I694,1156.0,1,5.477225575051661,0.0,0.0,0.03333333333333333,0.011111111111111112,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-ELP-064-2PK,0,0,0,0,0,Cosmetics General,RIM-ELP-064-2PK,1951.0,1,5.477225575051661,0.0,0.07142857142857142,0.03333333333333333,0.03333333333333333,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-ELP-064-3PK,0,0,0,0,0,Cosmetics General,RIM-ELP-064-3PK,1625.0,1,5.477225575051661,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-ELP-064-5PK,0,0,0,0,0,Cosmetics General,RIM-ELP-064-5PK,837.0,1,5.477225575051661,0.0,0.0,0.0,0.011111111111111112,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-ELP-071,0,0,0,0,0,Eyeliner,402071202955,7578.0,1,2.421170990557519,0.2857142857142857,0.21428571428571427,0.2,0.24444444444444444,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-ELP-071-2PK,0,0,0,0,0,Cosmetics General,RIM-ELP-071-2PK,3815.0,1,5.477225575051661,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
RIM-ELP-071-3PK,0,0,0,0,0,Cosmetics General,RIM-ELP-071-3PK,2554.0,1,5.477225575051662,0.0,0.0,0.0,0.0,999.0,Dormant Inventory,SLOW-MOVING EXCESS,Review Promotion / Liquidation
